表类型	就诊类型	项目类型	数据总量	日期null的数据量	每个月平均值	开始时间	+结束时间	开始结束之间异常月份的数量
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	虚拟就诊	超声	340	0	7.7272727272727275	2014年5月	2018年4月	17
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	门诊	CT	2748	0	45.8	2013年8月	2018年5月	0
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	门诊	X线	14719	9097	158.2688172043011	2006年1月	2018年5月	81
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	门诊	心电	10793	605	71.47682119205298	2006年1月	2018年6月	11
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	门诊	超声	26356	0	175.70666666666668	2006年1月	2018年5月	1
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
表类型	就诊类型	项目类型	数据总量	日期null的数据量	每个月平均值	开始时间	+结束时间	开始结束之间异常月份的数量
检验记录日期年份分布	住院	微生物	217425	0	3062.323943661972	2012年9月	2018年5月	0
检验记录日期年份分布	所有就诊类型	所有项目类型	6704060	0	10282.300613496933	2012年9月	2018年6月	3
检验记录日期年份分布	住院	检验	4960914	456285	32637.592105263157	2006年1月	2018年6月	0
检验记录日期年份分布	所有就诊类型	所有项目类型	6704060	0	10282.300613496933	2012年9月	2018年6月	3
检验记录日期年份分布	急诊	微生物	3946	0	55.57746478873239	2012年9月	2018年5月	3
检验记录日期年份分布	所有就诊类型	所有项目类型	6704060	0	10282.300613496933	2012年9月	2018年6月	3
检验记录日期年份分布	急诊	检验	187344	41023	2081.6	2011年11月	2018年6月	0
检验记录日期年份分布	所有就诊类型	所有项目类型	6704060	0	10282.300613496933	2012年9月	2018年6月	3
检验记录日期年份分布	虚拟就诊	微生物	135	0	5.625	2012年11月	2018年5月	52
检验记录日期年份分布	所有就诊类型	所有项目类型	6704060	0	10282.300613496933	2012年9月	2018年6月	3
检验记录日期年份分布	虚拟就诊	检验	112900	110121	1525.6756756756756	2014年6月	2014年7月	0
检验记录日期年份分布	所有就诊类型	所有项目类型	6704060	0	10282.300613496933	2012年9月	2018年6月	3
检验记录日期年份分布	门诊	微生物	9197	0	124.28378378378379	2012年9月	2018年5月	0
检验记录日期年份分布	所有就诊类型	所有项目类型	6704060	0	10282.300613496933	2012年9月	2018年6月	3
检验记录日期年份分布	门诊	检验	1212199	247855	12627.072916666666	2011年11月	2018年6月	0
检验记录日期年份分布	所有就诊类型	所有项目类型	6704060	0	10282.300613496933	2012年9月	2018年6月	3
检查日期分布	住院	CT	62361	0	1039.35	2013年8月	2018年6月	0
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	住院	X线	104768	63291	1114.5531914893618	2006年5月	2018年6月	62
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	住院	心电	164517	5365	1089.5165562913908	2006年6月	2018年6月	1
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	住院	超声	262280	2	1736.953642384106	2006年3月	2018年6月	1
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	急诊	CT	3786	0	63.1	2013年8月	2018年6月	0
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	急诊	X线	3832	3167	42.577777777777776	2007年1月	2018年6月	100
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	急诊	心电	780	20	5.735294117647059	2006年7月	2018年6月	22
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	急诊	超声	2610	0	18.642857142857142	2006年10月	2018年6月	19
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	虚拟就诊	CT	30	0	1.5	2013年10月	2018年4月	32
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	虚拟就诊	X线	14	3	1.5555555555555556	2006年3月	2018年1月	26
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	虚拟就诊	心电	705	35	25.178571428571427	2013年8月	2015年7月	7
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	虚拟就诊	超声	340	0	7.7272727272727275	2014年5月	2018年4月	17
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	门诊	CT	2748	0	45.8	2013年8月	2018年5月	0
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	门诊	X线	14719	9097	158.2688172043011	2006年1月	2018年5月	81
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	门诊	心电	10793	605	71.47682119205298	2006年1月	2018年6月	11
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	门诊	超声	26356	0	175.70666666666668	2006年1月	2018年5月	1
检查日期分布	所有就诊类型	所有项目类型	660639	0	459.7348643006263	2013年8月	2018年5月	280
表类型	就诊类型	项目类型	数据总量	日期null的数据量	每个月平均值	开始时间	+结束时间	开始结束之间异常月份的数量
表类型	数据总量	日期null的数据量	每个月平均值	开始时间	+结束时间	开始结束之间异常月份的数量
检验记录日期年份分布	住院	微生物	217425	0	3062.323943661972	2012年9月	2018年5月	0
检验记录日期年份分布	6704060	0	10282.300613496933	2012年9月	2018年6月	3
检验记录日期年份分布	住院	检验	4960914	456285	32637.592105263157	2006年1月	2018年6月	0
检验记录日期年份分布	急诊	微生物	3946	0	55.57746478873239	2012年9月	2018年5月	3
检验记录日期年份分布	急诊	检验	187344	41023	2081.6	2011年11月	2018年6月	0
检验记录日期年份分布	虚拟就诊	微生物	135	0	5.625	2012年11月	2018年5月	52
检验记录日期年份分布	虚拟就诊	检验	112900	110121	1525.6756756756756	2014年6月	2014年7月	0
检验记录日期年份分布	门诊	微生物	9197	0	124.28378378378379	2012年9月	2018年5月	0
检验记录日期年份分布	门诊	检验	1212199	247855	12627.072916666666	2011年11月	2018年6月	0
检查日期分布	住院	CT	62361	0	1039.35	2013年8月	2018年6月	0
检查日期分布	660639	0	459.7348643006263	2013年8月	2018年5月	280
检查日期分布	住院	X线	104768	63291	1114.5531914893618	2006年5月	2018年6月	62
检查日期分布	住院	心电	164517	5365	1089.5165562913908	2006年6月	2018年6月	1
检查日期分布	住院	超声	262280	2	1736.953642384106	2006年3月	2018年6月	1
检查日期分布	急诊	CT	3786	0	63.1	2013年8月	2018年6月	0
检查日期分布	急诊	X线	3832	3167	42.577777777777776	2007年1月	2018年6月	100
检查日期分布	急诊	心电	780	20	5.735294117647059	2006年7月	2018年6月	22
检查日期分布	急诊	超声	2610	0	18.642857142857142	2006年10月	2018年6月	19
检查日期分布	虚拟就诊	CT	30	0	1.5	2013年10月	2018年4月	32
检查日期分布	虚拟就诊	X线	14	3	1.5555555555555556	2006年3月	2018年1月	26
检查日期分布	虚拟就诊	心电	705	35	25.178571428571427	2013年8月	2015年7月	7
检查日期分布	虚拟就诊	超声	340	0	7.7272727272727275	2014年5月	2018年4月	17
检查日期分布	门诊	CT	2748	0	45.8	2013年8月	2018年5月	0
检查日期分布	门诊	X线	14719	9097	158.2688172043011	2006年1月	2018年5月	81
检查日期分布	门诊	心电	10793	605	71.47682119205298	2006年1月	2018年6月	11
检查日期分布	门诊	超声	26356	0	175.70666666666668	2006年1月	2018年5月	1
